Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
###################################################
step 0, training err 0.886364
###################################################
step 100, training err 0.743945
###################################################
step 200, training err 0.710618
###################################################
step 300, training err 0.6606
###################################################
step 400, training err 0.677455
###################################################
step 500, training err 0.66
###################################################
step 600, training err 0.666782
###################################################
step 700, training err 0.682873
###################################################
step 800, training err 0.686964
###################################################
step 900, training err 0.632473
###################################################
step 1000, training err 0.654073
###################################################
step 1100, training err 0.638473
###################################################
step 1200, training err 0.649836
###################################################
step 1300, training err 0.621018
###################################################
step 1400, training err 0.664964
###################################################
step 1500, training err 0.645618
###################################################
step 1600, training err 0.664727
###################################################
step 1700, training err 0.660036
###################################################
step 1800, training err 0.652164
###################################################
step 1900, training err 0.675527
###################################################
step 2000, training err 0.662891
###################################################
step 2100, training err 0.646564
###################################################
step 2200, training err 0.641618
###################################################
step 2300, training err 0.657509
###################################################
step 2400, training err 0.659891
###################################################
step 2500, training err 0.626509
###################################################
step 2600, training err 0.624618
###################################################
step 2700, training err 0.643673
###################################################
step 2800, training err 0.624818
###################################################
step 2900, training err 0.664582
###################################################
step 3000, training err 0.629255
###################################################
step 3100, training err 0.631382
###################################################
step 3200, training err 0.641127
###################################################
step 3300, training err 0.6418
###################################################
step 3400, training err 0.6708
###################################################
step 3500, training err 0.629382
###################################################
step 3600, training err 0.663564
###################################################
step 3700, training err 0.667273
###################################################
step 3800, training err 0.642473
###################################################
step 3900, training err 0.641309
###################################################
step 4000, training err 0.647091
###################################################
step 4100, training err 0.633782
###################################################
step 4200, training err 0.612509
###################################################
step 4300, training err 0.612691
###################################################
step 4400, training err 0.6294
###################################################
step 4500, training err 0.647345
###################################################
step 4600, training err 0.627418
###################################################
step 4700, training err 0.616909
###################################################
step 4800, training err 0.599127
###################################################
step 4900, training err 0.632018
###################################################
step 5000, training err 0.651582
###################################################
step 5100, training err 0.615636
###################################################
step 5200, training err 0.641745
###################################################
step 5300, training err 0.626527
###################################################
step 5400, training err 0.633327
###################################################
step 5500, training err 0.657782
###################################################
step 5600, training err 0.616727
###################################################
step 5700, training err 0.6402
###################################################
step 5800, training err 0.638673
###################################################
step 5900, training err 0.616109
###################################################
step 6000, training err 0.6606
###################################################
step 6100, training err 0.613782
###################################################
step 6200, training err 0.638436
###################################################
step 6300, training err 0.621764
###################################################
step 6400, training err 0.629145
###################################################
step 6500, training err 0.633836
###################################################
step 6600, training err 0.661818
###################################################
step 6700, training err 0.624545
###################################################
step 6800, training err 0.632236
###################################################
step 6900, training err 0.648527
###################################################
step 7000, training err 0.647673
###################################################
step 7100, training err 0.671582
###################################################
step 7200, training err 0.630673
###################################################
step 7300, training err 0.633436
###################################################
step 7400, training err 0.629127
###################################################
step 7500, training err 0.625636
###################################################
step 7600, training err 0.642073
###################################################
step 7700, training err 0.622455
###################################################
step 7800, training err 0.615709
###################################################
step 7900, training err 0.640782
###################################################
step 8000, training err 0.649345
###################################################
step 8100, training err 0.665273
###################################################
step 8200, training err 0.655945
###################################################
step 8300, training err 0.632109
###################################################
step 8400, training err 0.630127
###################################################
step 8500, training err 0.647091
###################################################
step 8600, training err 0.626891
###################################################
step 8700, training err 0.630182
###################################################
step 8800, training err 0.625418
###################################################
